time	Vsalida
2.729107508240819e-004	3.024479e+000
2.729157508240818e-004	3.024426e+000
2.729207508240818e-004	3.024373e+000
2.729257508240818e-004	3.024319e+000
2.729307508240817e-004	3.024265e+000
2.729357508240817e-004	3.024210e+000
2.729407508240817e-004	3.024155e+000
2.729457508240816e-004	3.024100e+000
2.729507508240816e-004	3.024044e+000
2.729557508240816e-004	3.023988e+000
2.729607508240816e-004	3.023932e+000
2.729657508240815e-004	3.023875e+000
2.729707508240815e-004	3.023818e+000
2.729757508240815e-004	3.023760e+000
2.729807508240814e-004	3.023702e+000
2.729857508240814e-004	3.023643e+000
2.729907508240814e-004	3.023585e+000
2.729957508240814e-004	3.023526e+000
2.730007508240813e-004	3.023466e+000
2.730057508240813e-004	3.023406e+000
2.730107508240813e-004	3.023346e+000
2.730157508240812e-004	3.023285e+000
2.730207508240812e-004	3.023224e+000
2.730230771698938e-004	3.023196e+000
2.730252806012802e-004	3.023169e+000
2.730271484563172e-004	3.023145e+000
2.730291215616665e-004	3.023121e+000
2.730330677723650e-004	3.023072e+000
2.730380677723650e-004	3.023010e+000
2.730430677723649e-004	3.022947e+000
2.730480677723649e-004	3.022884e+000
2.730530677723649e-004	3.022821e+000
2.730580677723648e-004	3.022757e+000
2.730630677723648e-004	3.022693e+000
2.730680677723648e-004	3.022629e+000
2.730730677723647e-004	3.022564e+000
2.730780677723647e-004	3.022499e+000
2.730830677723647e-004	3.022434e+000
2.730880677723647e-004	3.022368e+000
2.730930677723646e-004	3.022303e+000
2.730980677723646e-004	3.022238e+000
2.731030677723646e-004	3.022172e+000
2.731080677723645e-004	3.022106e+000
2.731130677723645e-004	3.022041e+000
2.731180677723645e-004	3.021975e+000
2.731230677723644e-004	3.021909e+000
2.731280677723644e-004	3.021844e+000
2.731330677723644e-004	3.021778e+000
2.731380677723644e-004	3.021713e+000
2.731430677723643e-004	3.021647e+000
2.731480677723643e-004	3.021581e+000
2.731530677723643e-004	3.021516e+000
2.731580677723642e-004	3.021450e+000
2.731630677723642e-004	3.021384e+000
2.731680677723642e-004	3.021319e+000
2.731730677723642e-004	3.021253e+000
2.731780677723641e-004	3.021188e+000
2.731830677723641e-004	3.021122e+000
2.731880677723641e-004	3.021056e+000
2.731930677723640e-004	3.020991e+000
2.731980677723640e-004	3.020925e+000
2.732030677723640e-004	3.020860e+000
2.732080677723639e-004	3.020794e+000
2.732130677723639e-004	3.020729e+000
2.732180677723639e-004	3.020663e+000
2.732230677723639e-004	3.020597e+000
2.732280677723638e-004	3.020532e+000
2.732330677723638e-004	3.020467e+000
2.732380677723638e-004	3.020401e+000
2.732430677723637e-004	3.020336e+000
2.732480677723637e-004	3.020270e+000
2.732530677723637e-004	3.020205e+000
2.732580677723636e-004	3.020140e+000
2.732630677723636e-004	3.020075e+000
2.732680677723636e-004	3.020009e+000
2.732730677723636e-004	3.019944e+000
2.732780677723635e-004	3.019879e+000
2.732830677723635e-004	3.019814e+000
2.732880677723635e-004	3.019749e+000
2.732930677723634e-004	3.019684e+000
2.732980677723634e-004	3.019619e+000
2.733030677723634e-004	3.019554e+000
2.733053292194088e-004	3.019525e+000
2.733081661184435e-004	3.019487e+000
2.733096618384148e-004	3.019467e+000
2.733116010181834e-004	3.019441e+000
2.733154793777204e-004	3.019390e+000
2.733195387698672e-004	3.019336e+000
2.733245387698672e-004	3.019269e+000
2.733287526126655e-004	3.019213e+000
2.733333270907917e-004	3.019153e+000
2.733365993106134e-004	3.019110e+000
2.733396277398389e-004	3.019070e+000
2.733429779347362e-004	3.019026e+000
2.733438052255209e-004	3.019016e+000
2.733442209089903e-004	3.019010e+000
2.733444075175219e-004	3.019008e+000
2.733446548284519e-004	3.019004e+000
2.733449064487444e-004	3.019001e+000
2.733454096893295e-004	3.018995e+000
2.733460562027478e-004	3.018986e+000
2.733470066448420e-004	3.018974e+000
2.733479162042036e-004	3.018962e+000
2.733491658987535e-004	3.018946e+000
2.733504747666122e-004	3.018929e+000
2.733522919292982e-004	3.018905e+000
2.733540944598735e-004	3.018881e+000
2.733566746048978e-004	3.018848e+000
2.733591479744085e-004	3.018816e+000
2.733624307204897e-004	3.018773e+000
2.733658594958781e-004	3.018728e+000
2.733699780866638e-004	3.018674e+000
2.733744089222214e-004	3.018617e+000
2.733794089222214e-004	3.018552e+000
2.733843264168265e-004	3.018488e+000
2.733893264168265e-004	3.018422e+000
2.733940858886490e-004	3.018361e+000
2.733990858886490e-004	3.018296e+000
2.734038803826621e-004	3.018233e+000
2.734088803826621e-004	3.018168e+000
2.734138803826621e-004	3.018103e+000
2.734188803826621e-004	3.018038e+000
2.734238803826620e-004	3.017973e+000
2.734288803826620e-004	3.017908e+000
2.734338803826620e-004	3.017843e+000
2.734388803826619e-004	3.017778e+000
2.734438803826619e-004	3.017713e+000
2.734488803826619e-004	3.017648e+000
2.734538803826618e-004	3.017583e+000
2.734588803826618e-004	3.017518e+000
2.734638803826618e-004	3.017452e+000
2.734688803826618e-004	3.017388e+000
2.734738803826617e-004	3.017323e+000
2.734888803826616e-004	3.017128e+000
2.735138803826615e-004	3.016803e+000
2.735438803826613e-004	3.016413e+000
2.735838803826611e-004	3.015895e+000
2.736338803826608e-004	3.015247e+000
2.737038803826604e-004	3.014341e+000
2.738088803826597e-004	3.012985e+000
2.740338803826584e-004	3.010089e+000
2.741638803826576e-004	3.008422e+000
2.742388803826572e-004	3.007463e+000
2.745588803826553e-004	3.003386e+000
2.749990000000000e-004	2.997826e+000
2.749999999999999e-004	2.997813e+000
2.750000999999999e-004	2.997812e+000
2.750005999999998e-004	2.997806e+000
2.750009999999998e-004	2.997801e+000
2.757209999999998e-004	2.988816e+000
2.757220000000000e-004	2.988804e+000
2.759060779998963e-004	2.986529e+000
2.759110779998963e-004	2.986467e+000
2.759160779998962e-004	2.986405e+000
2.759210779998962e-004	2.986344e+000
2.759260779998962e-004	2.986282e+000
2.759310779998961e-004	2.986220e+000
2.759360779998961e-004	2.986159e+000
2.759410779998961e-004	2.986097e+000
2.759434043457087e-004	2.986068e+000
2.759447524993729e-004	2.986052e+000
2.759460615491623e-004	2.986036e+000
2.759471519477527e-004	2.986022e+000
2.759483122475525e-004	2.986008e+000
2.759506328471519e-004	2.985979e+000
2.759552740463510e-004	2.985922e+000
2.759602740463509e-004	2.985861e+000
2.759637614220779e-004	2.985818e+000
2.759654518609696e-004	2.985797e+000
2.759716477053044e-004	2.985720e+000
2.759747488239889e-004	2.985682e+000
2.759797488239889e-004	2.985621e+000
2.759847488239889e-004	2.985559e+000
2.759897488239889e-004	2.985497e+000
2.759947488239888e-004	2.985436e+000
2.759997488239888e-004	2.985374e+000
2.760047488239888e-004	2.985313e+000
2.760097488239887e-004	2.985251e+000
2.760147488239887e-004	2.985190e+000
2.760197488239887e-004	2.985128e+000
2.760247488239886e-004	2.985067e+000
2.760297488239886e-004	2.985005e+000
2.760347488239886e-004	2.984944e+000
2.760397488239886e-004	2.984882e+000
2.760447488239885e-004	2.984821e+000
2.760497488239885e-004	2.984759e+000
2.760547488239885e-004	2.984698e+000
2.760597488239884e-004	2.984636e+000
2.760647488239884e-004	2.984575e+000
2.760697488239884e-004	2.984513e+000
2.760747488239883e-004	2.984452e+000
2.760797488239883e-004	2.984390e+000
2.760847488239883e-004	2.984329e+000
2.760897488239883e-004	2.984267e+000
2.760947488239882e-004	2.984206e+000
2.760997488239882e-004	2.984145e+000
2.761047488239882e-004	2.984083e+000
2.761097488239881e-004	2.984022e+000
2.761147488239881e-004	2.983960e+000
2.761197488239881e-004	2.983899e+000
2.761247488239881e-004	2.983838e+000
2.761297488239880e-004	2.983776e+000
2.761347488239880e-004	2.983715e+000
2.761397488239880e-004	2.983653e+000
2.761447488239879e-004	2.983592e+000
2.761497488239879e-004	2.983531e+000
2.761547488239879e-004	2.983469e+000
2.761597488239878e-004	2.983408e+000
2.761647488239878e-004	2.983347e+000
2.761670751698004e-004	2.983318e+000
2.761692786011868e-004	2.983291e+000
2.761711464562239e-004	2.983268e+000
2.761731195615731e-004	2.983244e+000
2.761770657722716e-004	2.983196e+000
2.761820657722716e-004	2.983134e+000
2.761870657722715e-004	2.983073e+000
2.761906228139709e-004	2.983029e+000
2.761928618481597e-004	2.983002e+000
2.761944365669955e-004	2.982983e+000
2.761956689208919e-004	2.982968e+000
2.761967419374859e-004	2.982955e+000
2.761980354124155e-004	2.982939e+000
2.761992026392910e-004	2.982924e+000
2.762004801803903e-004	2.982909e+000
2.762020617738882e-004	2.982890e+000
2.762051673312342e-004	2.982852e+000
2.762101673312342e-004	2.982792e+000
2.762127263716532e-004	2.982761e+000
2.762153483448866e-004	2.982730e+000
2.762173183523619e-004	2.982707e+000
2.762194544876067e-004	2.982682e+000
2.762218234197260e-004	2.982655e+000
2.762230985592501e-004	2.982641e+000
2.762238340738479e-004	2.982633e+000
2.762241973244613e-004	2.982629e+000
2.762243873952199e-004	2.982627e+000
2.762246543117049e-004	2.982625e+000
2.762250570647396e-004	2.982624e+000
2.762255295707947e-004	2.982626e+000
2.762260237743235e-004	2.982630e+000
2.762270121813813e-004	2.982646e+000
2.762281640085974e-004	2.982671e+000
2.762294233414234e-004	2.982704e+000
2.762307585596649e-004	2.982745e+000
2.762323665671668e-004	2.982798e+000
2.762340254095488e-004	2.982857e+000
2.762359160687837e-004	2.982927e+000
2.762384764323118e-004	2.983022e+000
2.762411650808938e-004	2.983124e+000
2.762456040127110e-004	2.983295e+000
2.762503547629224e-004	2.983480e+000
2.762529345298416e-004	2.983582e+000
2.762540455752108e-004	2.983626e+000
2.762553240837104e-004	2.983677e+000
2.762563774324418e-004	2.983719e+000
2.762574152340022e-004	2.983760e+000
2.762584308345546e-004	2.983800e+000
2.762601402150765e-004	2.983868e+000
2.762635589761205e-004	2.984004e+000
2.762674606467531e-004	2.984159e+000
2.762724606467531e-004	2.984357e+000
2.762774606467531e-004	2.984554e+000
2.762824606467530e-004	2.984751e+000
2.762874606467530e-004	2.984947e+000
2.762924606467530e-004	2.985143e+000
