time	Isecundario	Iprimario
6.054485174709348e-006	2.356184e+000	-2.724942e-003
6.059485174709318e-006	2.351111e+000	-2.618598e-003
6.064485174709288e-006	2.346051e+000	-2.517065e-003
6.069485174709259e-006	2.341003e+000	-2.420136e-003
6.074485174709229e-006	2.335967e+000	-2.327597e-003
6.079485174709199e-006	2.330942e+000	-2.239261e-003
6.084485174709170e-006	2.325928e+000	-2.154932e-003
6.089485174709140e-006	2.320925e+000	-2.074436e-003
6.094485174709110e-006	2.315932e+000	-1.997595e-003
6.099485174709081e-006	2.310948e+000	-1.924251e-003
6.104485174709051e-006	2.305975e+000	-1.854241e-003
6.109485174709021e-006	2.301011e+000	-1.787419e-003
6.114485174708991e-006	2.296057e+000	-1.723638e-003
6.119485174708962e-006	2.291111e+000	-1.662764e-003
6.124485174708932e-006	2.286174e+000	-1.604661e-003
6.129485174708902e-006	2.281245e+000	-1.549209e-003
6.134485174708873e-006	2.276325e+000	-1.496283e-003
6.139485174708843e-006	2.271412e+000	-1.445773e-003
6.144485174708813e-006	2.266508e+000	-1.397565e-003
6.149485174708784e-006	2.261611e+000	-1.351558e-003
6.154485174708754e-006	2.256721e+000	-1.307650e-003
6.159485174708724e-006	2.251839e+000	-1.265748e-003
6.164485174708695e-006	2.246964e+000	-1.225756e-003
6.169485174708665e-006	2.242096e+000	-1.187593e-003
6.174485174708635e-006	2.237234e+000	-1.151171e-003
6.179485174708605e-006	2.232379e+000	-1.116413e-003
6.184485174708576e-006	2.227531e+000	-1.083242e-003
6.189485174708546e-006	2.222689e+000	-1.051587e-003
6.194485174708516e-006	2.217853e+000	-1.021377e-003
6.209485174708427e-006	2.203381e+000	-9.387773e-004
6.224485174708338e-006	2.188961e+000	-8.669841e-004
6.239485174708249e-006	2.174589e+000	-8.045816e-004
6.259485174708130e-006	2.155499e+000	-7.338764e-004
6.279485174708012e-006	2.136486e+000	-6.752038e-004
6.299485174707893e-006	2.117547e+000	-6.265006e-004
6.319485174707774e-006	2.098679e+000	-5.860560e-004
6.344485174707626e-006	2.075188e+000	-5.449770e-004
6.369485174707477e-006	2.051798e+000	-5.123568e-004
6.399485174707299e-006	2.023859e+000	-4.819029e-004
6.429485174707121e-006	1.996054e+000	-4.587135e-004
6.464485174706913e-006	1.963782e+000	-4.384765e-004
6.504485174706675e-006	1.927113e+000	-4.218263e-004
6.554485174706378e-006	1.881589e+000	-4.076016e-004
6.619485174705992e-006	1.822916e+000	-3.958967e-004
6.714485174705428e-006	1.738176e+000	-3.860957e-004
6.884485174704419e-006	1.589470e+000	-3.769411e-004
7.254485174702221e-006	1.278462e+000	-3.648564e-004
7.564485174700380e-006	1.030795e+000	-3.565403e-004
7.814485174698896e-006	8.393579e-001	-3.509394e-004
8.004485174697767e-006	6.987050e-001	-3.476984e-004
8.129485174697025e-006	6.084175e-001	-3.463006e-004
8.194485174696639e-006	5.621681e-001	-3.458986e-004
8.209485174696550e-006	5.515630e-001	-3.458447e-004
8.239485174696372e-006	5.304292e-001	-3.457863e-004
8.329485174695837e-006	4.676378e-001	-3.460782e-004
8.479485174694946e-006	3.650246e-001	-3.488376e-004
8.604485174694204e-006	2.814832e-001	-3.550528e-004
8.694485174693669e-006	2.224732e-001	-3.639661e-004
8.759485174693283e-006	1.804754e-001	-3.749125e-004
8.764485174693254e-006	1.772673e-001	-3.759977e-004
8.769485174693224e-006	1.740625e-001	-3.771268e-004
8.774485174693194e-006	1.708611e-001	-3.783021e-004
8.779485174693165e-006	1.676629e-001	-3.795260e-004
8.784485174693135e-006	1.644682e-001	-3.808015e-004
8.789485174693105e-006	1.612768e-001	-3.821312e-004
8.794485174693075e-006	1.580889e-001	-3.835185e-004
8.799485174693046e-006	1.549039e-001	-3.849455e-004
8.801811520505647e-006	1.534232e-001	-3.856682e-004
8.803159674169872e-006	1.525655e-001	-3.860595e-004
8.804468723959229e-006	1.517331e-001	-3.864807e-004
8.805559122549659e-006	1.510398e-001	-3.868020e-004
8.806719422349476e-006	1.503022e-001	-3.871316e-004
8.809040021948893e-006	1.488282e-001	-3.879292e-004
8.813681221147944e-006	1.458820e-001	-3.894414e-004
8.818681221147914e-006	1.427108e-001	-3.911470e-004
8.822168596874869e-006	1.405010e-001	-3.924243e-004
8.823859035766600e-006	1.394302e-001	-3.929437e-004
8.830054880101367e-006	1.355109e-001	-3.953587e-004
8.833155998785912e-006	1.335516e-001	-3.966153e-004
8.838155998785882e-006	1.303954e-001	-3.986816e-004
8.843155998785853e-006	1.272426e-001	-4.008525e-004
8.848155998785823e-006	1.240936e-001	-4.031380e-004
8.853155998785793e-006	1.209486e-001	-4.055446e-004
8.858155998785764e-006	1.178075e-001	-4.080811e-004
8.863155998785734e-006	1.146705e-001	-4.107585e-004
8.868155998785704e-006	1.115376e-001	-4.135867e-004
8.873155998785675e-006	1.084089e-001	-4.165794e-004
8.878155998785645e-006	1.052845e-001	-4.197490e-004
8.883155998785615e-006	1.021644e-001	-4.231120e-004
8.888155998785586e-006	9.904885e-002	-4.266842e-004
8.893155998785556e-006	9.593789e-002	-4.304858e-004
8.898155998785526e-006	9.283165e-002	-4.345372e-004
8.903155998785496e-006	8.973029e-002	-4.388635e-004
8.908155998785467e-006	8.663394e-002	-4.434911e-004
8.913155998785437e-006	8.354280e-002	-4.484520e-004
8.918155998785407e-006	8.045705e-002	-4.537808e-004
8.923155998785378e-006	7.737692e-002	-4.595185e-004
8.928155998785348e-006	7.430264e-002	-4.657112e-004
8.933155998785318e-006	7.123449e-002	-4.724132e-004
8.938155998785289e-006	6.817281e-002	-4.796865e-004
8.943155998785259e-006	6.511795e-002	-4.876044e-004
8.948155998785229e-006	6.207033e-002	-4.962521e-004
8.953155998785200e-006	5.903044e-002	-5.057310e-004
8.958155998785170e-006	5.599885e-002	-5.161610e-004
8.963155998785140e-006	5.297624e-002	-5.276863e-004
8.968155998785110e-006	4.996340e-002	-5.404801e-004
8.973155998785081e-006	4.696128e-002	-5.547537e-004
8.978155998785051e-006	4.397102e-002	-5.707659e-004
8.983155998785021e-006	4.099405e-002	-5.888373e-004
8.988155998784992e-006	3.803207e-002	-6.093689e-004
8.993155998784962e-006	3.508723e-002	-6.328676e-004
8.998155998784932e-006	3.216224e-002	-6.599815e-004
9.003155998784903e-006	2.926056e-002	-6.915498e-004
9.008155998784873e-006	2.638667e-002	-7.286728e-004
9.013155998784843e-006	2.354642e-002	-7.728119e-004
9.018155998784814e-006	2.074765e-002	-8.259351e-004
9.023155998784784e-006	1.799202e-002	-8.886914e-004
9.025482344597385e-006	1.673064e-002	-9.226663e-004
9.027685775983736e-006	1.555361e-002	-9.589759e-004
9.029553631020827e-006	1.456845e-002	-9.927308e-004
9.031526736370072e-006	1.354605e-002	-1.032746e-003
9.035472947068564e-006	1.155666e-002	-1.126158e-003
9.040472947068534e-006	9.144989e-003	-1.271298e-003
9.045472947068504e-006	6.897651e-003	-1.457387e-003
9.050472947068474e-006	4.873134e-003	-1.699489e-003
9.055472947068445e-006	3.129162e-003	-2.012259e-003
9.060472947068415e-006	1.716543e-003	-2.407851e-003
9.065472947068385e-006	6.586201e-004	-2.890069e-003
9.070472947068356e-006	-6.635328e-005	-3.449528e-003
9.075472947068326e-006	-5.240610e-004	-4.064364e-003
9.080472947068296e-006	-8.005893e-004	-4.707322e-003
9.085472947068267e-006	-9.727612e-004	-5.354401e-003
9.090472947068237e-006	-1.091925e-003	-5.989401e-003
9.095472947068207e-006	-1.185007e-003	-6.603430e-003
9.100472947068177e-006	-1.263463e-003	-7.192233e-003
9.105472947068148e-006	-1.331479e-003	-7.753783e-003
9.110472947068118e-006	-1.390530e-003	-8.286951e-003
9.115472947068088e-006	-1.441292e-003	-8.790945e-003
9.120472947068059e-006	-1.484236e-003	-9.265144e-003
9.125472947068029e-006	-1.519795e-003	-9.709055e-003
9.130472947067999e-006	-1.548378e-003	-1.012230e-002
9.135472947067970e-006	-1.570376e-003	-1.050464e-002
9.140472947067940e-006	-1.586154e-003	-1.085594e-002
9.145472947067910e-006	-1.596042e-003	-1.117624e-002
9.150472947067881e-006	-1.600331e-003	-1.146571e-002
9.155472947067851e-006	-1.599272e-003	-1.172469e-002
9.160472947067821e-006	-1.593060e-003	-1.195371e-002
9.165472947067791e-006	-1.581837e-003	-1.215348e-002
9.170472947067762e-006	-1.565672e-003	-1.232499e-002
9.175472947067732e-006	-1.544558e-003	-1.246946e-002
9.180472947067702e-006	-1.518391e-003	-1.258846e-002
