time	V(sw)
4.684974882398379e-005	2.171758e+001
4.685474882398376e-005	2.171161e+001
4.685974882398373e-005	2.170544e+001
4.686474882398370e-005	2.169904e+001
4.686974882398367e-005	2.169240e+001
4.687474882398364e-005	2.168549e+001
4.687974882398361e-005	2.167828e+001
4.688474882398358e-005	2.167074e+001
4.688974882398355e-005	2.166283e+001
4.689474882398352e-005	2.165459e+001
4.689707516979612e-005	2.165060e+001
4.689927860118247e-005	2.164671e+001
4.690114645621957e-005	2.164333e+001
4.690311956156881e-005	2.163965e+001
4.690706577226730e-005	2.163200e+001
4.691206577226727e-005	2.162179e+001
4.691706577226724e-005	2.161090e+001
4.692206577226721e-005	2.159916e+001
4.692706577226718e-005	2.158646e+001
4.693206577226715e-005	2.157260e+001
4.693706577226712e-005	2.155737e+001
4.694206577226709e-005	2.154049e+001
4.694706577226706e-005	2.152161e+001
4.695206577226703e-005	2.150028e+001
4.695706577226701e-005	2.147593e+001
4.696206577226698e-005	2.144787e+001
4.696706577226695e-005	2.141525e+001
4.697206577226692e-005	2.137709e+001
4.697706577226689e-005	2.133237e+001
4.698206577226686e-005	2.128015e+001
4.698706577226683e-005	2.121968e+001
4.699206577226680e-005	2.115060e+001
4.699706577226677e-005	2.107294e+001
4.700206577226674e-005	2.098710e+001
4.700706577226671e-005	2.089373e+001
4.701206577226668e-005	2.079360e+001
4.701706577226665e-005	2.068748e+001
4.702206577226662e-005	2.057610e+001
4.702706577226659e-005	2.046014e+001
4.703206577226656e-005	2.034017e+001
4.703706577226653e-005	2.021673e+001
4.704206577226650e-005	2.009030e+001
4.704706577226647e-005	1.996134e+001
4.705206577226644e-005	1.983030e+001
4.705706577226641e-005	1.969761e+001
4.706206577226638e-005	1.956378e+001
4.706706577226635e-005	1.942931e+001
4.707206577226632e-005	1.929482e+001
4.707706577226629e-005	1.916099e+001
4.708206577226626e-005	1.902868e+001
4.708706577226623e-005	1.889888e+001
4.709206577226620e-005	1.877282e+001
4.709706577226617e-005	1.865200e+001
4.710206577226614e-005	1.853826e+001
4.710706577226611e-005	1.843381e+001
4.711206577226608e-005	1.834134e+001
4.711706577226606e-005	1.826405e+001
4.712206577226603e-005	1.820564e+001
4.712706577226600e-005	1.817036e+001
4.713206577226597e-005	1.816283e+001
4.713706577226594e-005	1.818784e+001
4.714206577226591e-005	1.824991e+001
4.714706577226588e-005	1.835265e+001
4.715206577226585e-005	1.849779e+001
4.715706577226582e-005	1.868402e+001
4.716206577226579e-005	1.890577e+001
4.716706577226576e-005	1.915217e+001
4.717206577226573e-005	1.940932e+001
4.717371736988026e-005	1.949159e+001
4.717470671848677e-005	1.953004e+001
4.717519326311059e-005	1.953389e+001
4.717544801902509e-005	1.952152e+001
4.717573063682209e-005	1.948874e+001
4.717604640319954e-005	1.943177e+001
4.717635761731826e-005	1.935766e+001
4.717667179326870e-005	1.926846e+001
4.717707786670573e-005	1.913972e+001
4.717761355168561e-005	1.895698e+001
4.717842450413404e-005	1.866436e+001
4.717977399294271e-005	1.814717e+001
4.718247297055985e-005	1.702705e+001
4.718603758476197e-005	1.538080e+001
