time	V(gg)	I(L1)
1.001459999999872e-005	0.000000e+000	5.102262e+000
1.001859999999835e-005	0.000000e+000	5.102390e+000
1.002259999999798e-005	0.000000e+000	5.102518e+000
1.002659999999760e-005	0.000000e+000	5.102647e+000
1.003059999999723e-005	0.000000e+000	5.102775e+000
1.003359999999696e-005	0.000000e+000	5.102870e+000
1.003659999999668e-005	0.000000e+000	5.102966e+000
1.003959999999640e-005	0.000000e+000	5.103062e+000
1.004259999999612e-005	0.000000e+000	5.103157e+000
1.004559999999584e-005	0.000000e+000	5.103252e+000
1.004859999999557e-005	0.000000e+000	5.103347e+000
1.005159999999529e-005	0.000000e+000	5.103442e+000
1.005409999999506e-005	0.000000e+000	5.103521e+000
1.005659999999482e-005	0.000000e+000	5.103600e+000
1.005909999999459e-005	0.000000e+000	5.103679e+000
1.006159999999436e-005	0.000000e+000	5.103757e+000
1.006409999999413e-005	0.000000e+000	5.103835e+000
1.006659999999390e-005	0.000000e+000	5.103913e+000
1.006909999999367e-005	0.000000e+000	5.103991e+000
1.007117142856490e-005	0.000000e+000	5.104056e+000
1.007324285713614e-005	0.000000e+000	5.104120e+000
1.007531428570738e-005	0.000000e+000	5.104184e+000
1.007738571427861e-005	0.000000e+000	5.104248e+000
1.007945714284985e-005	0.000000e+000	5.104312e+000
1.008152857142109e-005	0.000000e+000	5.104375e+000
1.008359999999232e-005	0.000000e+000	5.104438e+000
1.008538571427787e-005	0.000000e+000	5.104493e+000
1.008717142856342e-005	0.000000e+000	5.104547e+000
1.008895714284897e-005	0.000000e+000	5.104601e+000
1.009074285713452e-005	0.000000e+000	5.104654e+000
1.009252857142007e-005	0.000000e+000	5.104708e+000
1.009431428570562e-005	0.000000e+000	5.104761e+000
1.009609999999116e-005	0.000000e+000	5.104815e+000
1.009781428570529e-005	0.000000e+000	5.104865e+000
1.009952857141942e-005	0.000000e+000	5.104916e+000
1.010124285713355e-005	0.000000e+000	5.104966e+000
1.010295714284767e-005	0.000000e+000	5.105015e+000
1.010467142856180e-005	0.000000e+000	5.105065e+000
1.010638571427592e-005	0.000000e+000	5.105114e+000
1.010809999999005e-005	0.000000e+000	5.105163e+000
1.010974285713276e-005	0.000000e+000	5.105209e+000
1.011138571427546e-005	0.000000e+000	5.105254e+000
1.011302857141817e-005	0.000000e+000	5.105299e+000
1.011467142856087e-005	0.000000e+000	5.105344e+000
1.011631428570358e-005	0.000000e+000	5.105388e+000
1.011795714284628e-005	0.000000e+000	5.105432e+000
1.011959999998899e-005	0.000000e+000	5.105475e+000
1.012009999998894e-005	0.000000e+000	5.105488e+000
1.012059999998889e-005	0.000000e+000	5.105501e+000
1.012652857141692e-005	0.000000e+000	5.105649e+000
1.013245714284494e-005	0.000000e+000	5.105787e+000
1.013838571427296e-005	0.000000e+000	5.105916e+000
1.014431428570098e-005	0.000000e+000	5.106036e+000
1.015024285712900e-005	0.000000e+000	5.106147e+000
1.015617142855703e-005	0.000000e+000	5.106248e+000
1.016209999998505e-005	0.000000e+000	5.106340e+000
1.016452857141339e-005	0.000000e+000	5.106375e+000
1.016695714284174e-005	0.000000e+000	5.106409e+000
1.016938571427009e-005	0.000000e+000	5.106441e+000
1.017181428569843e-005	0.000000e+000	5.106471e+000
1.017424285712678e-005	0.000000e+000	5.106499e+000
1.017667142855513e-005	0.000000e+000	5.106526e+000
1.017909999998347e-005	0.000000e+000	5.106551e+000
1.018067142855475e-005	0.000000e+000	5.106567e+000
1.018224285712604e-005	0.000000e+000	5.106581e+000
1.018381428569732e-005	0.000000e+000	5.106595e+000
1.018538571426860e-005	0.000000e+000	5.106609e+000
