time	V(vd)	V(vg)	Id(M1)
2.749619754540092e-007	5.199378e+000	4.319558e+000	5.129104e-001
2.771048325966677e-007	5.345658e+000	4.319049e+000	5.128286e-001
2.792476897393263e-007	5.498628e+000	4.318519e+000	5.127387e-001
2.843905468817068e-007	5.907047e+000	4.317281e+000	5.125378e-001
2.895334040240873e-007	6.340971e+000	4.316070e+000	5.123416e-001
2.946762611664678e-007	6.800401e+000	4.314885e+000	5.121501e-001
2.998191183088484e-007	7.285338e+000	4.313727e+000	5.119632e-001
3.049619754512289e-007	7.795780e+000	4.312595e+000	5.117809e-001
3.101048325936094e-007	8.331729e+000	4.311488e+000	5.116033e-001
3.152476897359900e-007	8.893184e+000	4.310409e+000	5.114304e-001
3.199619754498387e-007	9.412625e+000	4.309410e+000	5.112609e-001
3.246762611636876e-007	9.938907e+000	4.308401e+000	5.110653e-001
3.293905468775364e-007	1.047203e+001	4.307381e+000	5.108436e-001
3.341048325913852e-007	1.101199e+001	4.306351e+000	5.105956e-001
3.388191183052340e-007	1.155879e+001	4.305310e+000	5.103216e-001
3.435334040190829e-007	1.211243e+001	4.304259e+000	5.100213e-001
3.482476897329317e-007	1.267292e+001	4.303197e+000	5.096949e-001
3.513905468754975e-007	1.304783e+001	4.302479e+000	5.094562e-001
3.545334040180635e-007	1.342420e+001	4.301746e+000	5.091821e-001
3.576762611606293e-007	1.380203e+001	4.300999e+000	5.088727e-001
3.608191183031952e-007	1.418131e+001	4.300237e+000	5.085279e-001
3.639619754457611e-007	1.456205e+001	4.299459e+000	5.081478e-001
3.671048325883270e-007	1.494425e+001	4.298667e+000	5.077324e-001
3.702476897308928e-007	1.532791e+001	4.297861e+000	5.072816e-001
3.722476897307075e-007	1.557252e+001	4.297338e+000	5.069713e-001
3.742476897305221e-007	1.581750e+001	4.296795e+000	5.066133e-001
3.762476897303368e-007	1.606285e+001	4.296232e+000	5.062074e-001
3.782476897301514e-007	1.630856e+001	4.295649e+000	5.057537e-001
3.802476897299661e-007	1.655463e+001	4.295046e+000	5.052522e-001
3.822476897297807e-007	1.680107e+001	4.294423e+000	5.047029e-001
3.842476897295954e-007	1.704787e+001	4.293779e+000	5.041057e-001
3.872476897293174e-007	1.741848e+001	4.292721e+000	5.029868e-001
3.892476897291320e-007	1.766581e+001	4.291944e+000	5.020704e-001
3.912476897289467e-007	1.791330e+001	4.291084e+000	5.009586e-001
3.922476897288540e-007	1.803707e+001	4.290612e+000	5.003024e-001
3.932476897287613e-007	1.816082e+001	4.290096e+000	4.995354e-001
3.942476897286686e-007	1.828437e+001	4.289437e+000	4.983805e-001
3.952476897285760e-007	1.840615e+001	4.287807e+000	4.944730e-001
3.962476897284833e-007	1.852115e+001	4.282564e+000	4.802157e-001
3.968742068257997e-007	1.858314e+001	4.273932e+000	4.580874e-001
3.975026904323199e-007	1.863269e+001	4.258578e+000	4.220699e-001
3.981590159223697e-007	1.867279e+001	4.236433e+000	3.750635e-001
3.990758259909879e-007	1.871537e+001	4.198570e+000	3.037919e-001
4.000758259908952e-007	1.875081e+001	4.151771e+000	2.284385e-001
4.010758259908025e-007	1.877795e+001	4.100990e+000	1.620905e-001
4.020758259907099e-007	1.879910e+001	4.047536e+000	1.089745e-001
4.030758259906172e-007	1.881583e+001	3.992298e+000	7.046983e-002
4.040758259905245e-007	1.882917e+001	3.935927e+000	4.552107e-002
4.050758259904318e-007	1.883993e+001	3.878965e+000	3.122105e-002
4.060758259903392e-007	1.884876e+001	3.821870e+000	2.393265e-002
4.070758259902465e-007	1.885617e+001	3.765001e+000	2.050753e-002
4.080758259901538e-007	1.886251e+001	3.708606e+000	1.889576e-002
4.090758259900611e-007	1.886804e+001	3.652844e+000	1.803511e-002
4.100758259899685e-007	1.887294e+001	3.597811e+000	1.746841e-002
4.120758259897831e-007	1.888130e+001	3.490145e+000	1.661508e-002
4.145043974181295e-007	1.888898e+001	3.364226e+000	1.576182e-002
4.169329688464759e-007	1.889588e+001	3.243202e+000	1.495584e-002
4.193615402748222e-007	1.890199e+001	3.127072e+000	1.419714e-002
4.217901117031686e-007	1.890731e+001	3.015836e+000	1.348571e-002
4.242186831315149e-007	1.891184e+001	2.909494e+000	1.282155e-002
4.266472545598613e-007	1.891559e+001	2.808047e+000	1.220467e-002
4.290758259882076e-007	1.891854e+001	2.711494e+000	1.163507e-002
4.319329688450857e-007	1.892195e+001	2.603727e+000	1.099057e-002
4.347901117019638e-007	1.892509e+001	2.501023e+000	1.037865e-002
4.376472545588418e-007	1.892795e+001	2.403380e+000	9.799307e-003
4.405043974157199e-007	1.893054e+001	2.310800e+000	9.252545e-003
4.433615402725980e-007	1.893286e+001	2.223282e+000	8.738362e-003
4.462186831294761e-007	1.893491e+001	2.140825e+000	8.256759e-003
